Customer Name,Customer ID,Row ID,Lenghth,Order Priority,Discount, Unit Price , Shipping Cost ,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date, Profit ,Quantity ordered new,Sales,Order ID,Status
Joanne Church,1271,19398,3,Low,10%, $34.23 , $5.02 ,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Hand-Finished Solid Wood Document Frame,55%,United States,West,California,La Mesa,91941,01-05-2015,06-05-2015, $151.57 ,7,219.66,88411,Accepted
Leo Kane,2653,25663,13,Not Specified,2%, $34.23 , $5.02 ,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Hand-Finished Solid Wood Document Frame,55%,United States,Central,Kansas,Derby,67037,22-02-2015,24-02-2015, $270.79 ,11,392.45,89360,Accepted
Melinda Rogers,2151,22555,13,Not Specified,8%, $243.98 , $43.32 ,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",55%,United States,Central,Iowa,Dubuque,52001,05-01-2015,06-01-2015, $(162.82),1,248.84,90404,Accepted
Grace Black,2880,20315,3,Low,9%, $243.98 , $43.32 ,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",55%,United States,South,Florida,North Miami Beach,33160,08-05-2015,13-05-2015," $1,059.29 ",25,5587.89,88627,Accepted
Brenda Jain,2162,23773,6,Medium,9%, $159.31 , $60.00 ,Delivery Truck,Corporate,Furniture,Tables,Jumbo Drum,Hon Non-Folding Utility Tables,55%,United States,East,Pennsylvania,Sharon,16146,20-05-2015,22-05-2015, $77.00 ,41,6173.42,90387,Accepted
Jack Hatcher,2117,20249,4,High,3%, $320.98 , $24.49 ,Regular Air,Home Office,Furniture,Chairs & Chairmats,Large Box,Hon Pagoda™ Stacking Chairs,55%,United States,Central,Texas,Greenville,75401,20-04-2015,22-04-2015," $4,554.43 ",20,6600.63,90891,Accepted
Francis Evans,975,24298,3,Low,10%, $2.22 , $5.00 ,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,55%,United States,East,Massachusetts,Boston,2108,04-04-2015,09-04-2015, $(21.32),3,8.8,87260,Accepted
Carolyn Proctor,411,18428,4,High,5%, $178.47 , $19.99 ,Express Air,Consumer,Office Supplies,Storage & Organization,Small Box,"Hot File® 7-Pocket, Floor Stand",55%,United States,West,California,Oakland,94601,04-05-2015,07-05-2015, $943.00 ,9,1531.31,87905,Accepted
Helen Ferguson,2540,22840,13,Not Specified,2%, $178.47 , $19.99 ,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,"Hot File® 7-Pocket, Floor Stand",55%,United States,South,Florida,Winter Springs,32708,07-04-2015,08-04-2015, $106.98 ,1,193.81,91017,Accepted
Catherine Dorsey Burnett,2803,18071,6,Medium,10%, $178.47 , $19.99 ,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,"Hot File® 7-Pocket, Floor Stand",55%,United States,West,California,East Los Angeles,90022,05-02-2015,07-02-2015, $(170.98),1,180.14,86227,Accepted
Edith Reynolds,3036,22201,8,Critical,8%, $178.47 , $19.99 ,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,"Hot File® 7-Pocket, Floor Stand",55%,United States,Central,North Dakota,Mandan,58554,13-03-2015,16-03-2015," $2,267.22 ",22,3802.01,89130,Accepted
Robin High,646,24869,3,Low,3%, $51.75 , $19.99 ,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",55%,United States,Central,Minnesota,Shakopee,55379,17-06-2015,22-06-2015, $261.44 ,16,818.81,90735,Accepted
Dan Lamm,1650,24019,4,High,8%, $65.99 , $8.99 ,Express Air,Corporate,Technology,Telephones and Communication,Small Box,i270,55%,United States,South,North Carolina,Asheboro,27203,09-05-2015,11-05-2015, $(135.23),8,417.47,91042,Accepted
Rhonda Stein,2468,18684,8,Critical,4%, $65.99 , $8.99 ,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,i270,55%,United States,South,North Carolina,Salisbury,28144,13-03-2015,14-03-2015, $(335.04),13,724.57,88137,Accepted
Helen Dickerson,2264,18142,13,Not Specified,9%, $207.48 , $0.99 ,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,55%,United States,Central,Missouri,Joplin,64804,26-01-2015,29-01-2015, $359.83 ,3,577.75,86611,Accepted
Milton Lindsay,3095,20357,8,Critical,9%, $207.48 , $0.99 ,Regular Air,Consumer,Office Supplies,Appliances,Small Box,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,55%,United States,East,Ohio,Hamilton,45011,19-01-2015,21-01-2015, $683.96 ,5,991.24,86220,Accepted
Anna Wood,211,23100,6,Medium,5%, $2.08 , $2.56 ,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,55%,United States,East,New York,Utica,13501,02-06-2015,03-06-2015, $(36.25),20,42.29,85966,Accepted
Danielle Baird,2358,18892,8,Critical,5%, $2.08 , $2.56 ,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,55%,United States,South,Florida,Fort Lauderdale,33311,14-02-2015,16-02-2015," $(1,045.02)",19,40.93,88268,Accepted
Gina McKnight,524,21518,13,Not Specified,7%," $2,036.48 ", $14.70 ,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Drum,Lexmark 4227 Plus Dot Matrix Printer,55%,United States,South,Tennessee,Farragut,37922,20-01-2015,22-01-2015, $(11.54),1,1893.93,91127,Accepted
Kristine Connolly,553,349,13,Not Specified,7%," $2,036.48 ", $14.70 ,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Lexmark 4227 Plus Dot Matrix Printer,55%,United States,West,California,Los Angeles,90008,21-02-2015,21-02-2015," $4,073.25 ",25,43046.2,2433,Accepted
Walter Young,555,18349,13,Not Specified,7%," $2,036.48 ", $14.70 ,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Lexmark 4227 Plus Dot Matrix Printer,55%,United States,West,Utah,Pleasant Grove,84062,21-02-2015,21-02-2015," $6,028.41 ",6,10331.09,86190,Accepted
Gregory Crane,1425,22824,3,Low,4%," $2,036.48 ", $14.70 ,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Drum,Lexmark 4227 Plus Dot Matrix Printer,55%,United States,West,Colorado,Fort Collins,80525,01-01-2015,06-01-2015," $(4,793.00)",1,2013.67,89450,Accepted
Craig Liu,2489,20602,4,High,1%," $2,036.48 ", $14.70 ,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Drum,Lexmark 4227 Plus Dot Matrix Printer,55%,United States,West,California,Concord,94521,11-02-2015,13-02-2015," $(1,596.75)",2,3786.84,86883,Accepted
Lynn Bell,1000,19002,4,High,3%, $33.98 , $19.99 ,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,"Linden® 12"" Wall Clock With Oak Frame",55%,United States,East,Vermont,Bennington,5201,14-03-2015,15-03-2015, $(0.74),12,432.44,89433,Accepted
Floyd Dale,210,23099,6,Medium,0%, $11.55 , $2.36 ,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 309,55%,United States,East,New York,Troy,12180,02-06-2015,03-06-2015, $23.60 ,5,62.98,85966,Accepted
Sherri F Vogel,1976,25732,8,Critical,5%, $11.55 , $2.36 ,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 309,55%,United States,Central,Michigan,East Lansing,48823,10-01-2015,12-01-2015, $98.53 ,12,142.79,89039,Accepted
Amy Hamrick Melvin,2618,6587,6,Medium,10%, $11.55 , $2.36 ,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 309,55%,United States,East,New York,New York City,10004,17-01-2015,18-01-2015, $15.81 ,25,280.43,46884,Accepted
Joel Burnette,2770,23342,8,Critical,2%, $11.55 , $2.36 ,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 309,55%,United States,South,Georgia,Dunwoody,30338,08-03-2015,10-03-2015," $1,289.38 ",14,159.53,88975,Accepted
Faye Hanna,2931,21313,13,Not Specified,10%, $11.55 , $2.36 ,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 309,55%,United States,West,California,El Dorado Hills,95630,28-02-2015,28-02-2015, $69.77 ,12,135.77,87619,Accepted
Jeremy Pratt,1213,22530,4,High,3%, $5.84 , $1.20 ,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 312,55%,United States,Central,Indiana,Granger,46530,15-01-2015,17-01-2015, $(0.01),2,11.74,88600,Accepted
Tamara Dickinson,3275,19233,3,Low,1%, $5.84 , $1.20 ,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 312,55%,United States,West,Washington,Mount Vernon,98273,01-01-2015,10-01-2015, $20.38 ,6,36.09,86234,Accepted
Max Hurley,2823,23803,3,Low,2%, $21.98 , $2.87 ,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,55%,United States,West,Nevada,North Las Vegas,89031,30-04-2015,02-05-2015, $165.63 ,11,240.05,87240,Accepted
Bob Berg,2840,18416,4,High,0%, $21.98 , $2.87 ,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,55%,United States,South,Florida,North Miami,33161,19-03-2015,20-03-2015, $21.10 ,16,360.03,87884,Accepted
Brian Leach,672,19423,3,Low,7%, $2.88 , $1.01 ,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Sanford Colorific Colored Pencils, 12/Box",55%,United States,Central,Iowa,Newton,50208,05-02-2015,09-02-2015, $9.59 ,12,34.97,88173,Accepted
Joanna Kenney,2980,23110,3,Low,4%, $2.88 , $1.01 ,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,"Sanford Colorific Colored Pencils, 12/Box",55%,United States,East,Ohio,Sandusky,44870,30-05-2015,04-06-2015, $15.25 ,39,111.92,86548,Accepted
Beverly Cooke Brooks,724,19601,6,Medium,9%, $125.99 , $8.99 ,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,SC7868i,55%,United States,East,Connecticut,Stratford,6614,15-03-2015,16-03-2015, $(605.37),1,100.38,90359,Accepted
Joy Maxwell,744,19505,3,Low,9%, $125.99 , $8.99 ,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,SC7868i,55%,United States,West,Arizona,Oro Valley,85737,25-05-2015,02-06-2015, $916.68 ,20,2104.99,87727,Accepted
Marcia Feldman,1916,18016,4,High,1%, $125.99 , $8.99 ,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,SC7868i,55%,United States,South,Arkansas,Little Rock,72209,16-04-2015,18-04-2015, $(45.47),9,1011.44,85895,Accepted
Sarah Ramsey,16,26268,4,High,5%, $115.99 , $2.50 ,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7797,55%,United States,East,New York,Syracuse,13210,12-02-2015,14-02-2015, $652.73 ,10,945.99,86836,Accepted
Brenda Nelson Blanchard,250,18774,8,Critical,2%, $65.99 , $3.90 ,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC Series,55%,United States,Central,Minnesota,Richfield,55423,28-05-2015,29-05-2015," $1,061.38 ",27,1543.55,87214,Accepted
Aaron Day,1627,23604,4,High,6%, $43.57 , $16.36 ,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Trav-L-File Heavy-Duty Shuttle II, Black",55%,United States,South,Tennessee,Greeneville,37743,28-05-2015,30-05-2015, $(38.81),17,710.16,90602,Accepted
Rita Barton,999,19003,4,High,8%, $45.19 , $1.99 ,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",55%,United States,East,New Jersey,Ridgewood,7450,14-03-2015,15-03-2015, $(71.83),3,127.22,89433,Accepted
Paige Powers,2124,24674,4,High,4%, $45.19 , $1.99 ,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",55%,United States,South,Arkansas,West Memphis,72301,01-01-2015,02-01-2015, $(61.19),13,609.09,89665,Accepted
Ted Durham,3086,20008,4,High,5%, $39.99 , $10.25 ,Express Air,Consumer,Technology,Computer Peripherals,Small Box,Zoom V.92 V.44 PCI Internal Controllerless FaxModem,55%,United States,South,Florida,North Port,34287,18-05-2015,19-05-2015, $4.29 ,3,130.91,88380,Accepted
Richard Tan,3356,18630,6,Medium,4%, $65.99 , $5.63 ,Express Air,Corporate,Technology,Telephones and Communication,Small Box,2190,56%,United States,West,Idaho,Eagle,83616,04-05-2015,04-05-2015, $605.05 ,15,876.88,88588,Accepted
Marvin Patrick,2190,5871,8,Critical,3%, $115.99 , $4.23 ,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,282,56%,United States,Central,Michigan,Detroit,48227,14-02-2015,16-02-2015, $722.24 ,49,5014.07,41636,Accepted
Donald Melton,2193,23871,8,Critical,3%, $115.99 , $4.23 ,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,282,56%,United States,South,North Carolina,New Bern,28560,14-02-2015,16-02-2015, $848.36 ,12,1227.94,90685,Accepted
Dolores Abrams,922,18395,13,Not Specified,1%, $65.99 , $8.99 ,Express Air,Small Business,Technology,Telephones and Communication,Small Box,5180,56%,United States,West,California,Rancho Cucamonga,91730,20-05-2015,21-05-2015, $396.97 ,14,782,87135,Accepted
Wesley Reid,1466,23735,4,High,0%, $65.99 , $8.99 ,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,5180,56%,United States,Central,Nebraska,Columbus,68601,11-06-2015,13-06-2015, $253.30 ,10,575.07,91115,Accepted
Renee Alston,383,21282,8,Critical,7%, $65.99 , $5.26 ,Express Air,Corporate,Technology,Telephones and Communication,Small Box,8860,56%,United States,East,Pennsylvania,Drexel Hill,19026,19-03-2015,21-03-2015, $107.08 ,5,279.83,88928,Accepted
Neil Parker,1527,22253,3,Low,3%, $65.99 , $5.26 ,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,8860,56%,United States,South,Alabama,Decatur,35601,30-03-2015,09-04-2015, $(52.25),23,1316.03,86814,Accepted
Brett Ingram,2272,19438,4,High,8%, $15.73 , $7.42 ,Express Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme Galleria® Hot Forged Steel Scissors with Colored Handles,56%,United States,Central,Texas,Harker Heights,76543,16-03-2015,18-03-2015, $(37.60),5,78.08,90110,Accepted
Glenda Hunter,3151,19619,8,Critical,6%, $15.73 , $7.42 ,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme Galleria® Hot Forged Steel Scissors with Colored Handles,56%,United States,West,California,Twentynine Palms,92277,04-02-2015,05-02-2015, $(18.56),4,63.04,88544,Accepted
William Larson,585,18663,6,Medium,6%, $13.90 , $7.59 ,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",56%,United States,East,New Hampshire,Concord,3301,13-05-2015,14-05-2015, $(67.59),12,170.45,88644,Accepted
Colleen Fletcher,1080,23312,13,Not Specified,8%, $13.90 , $7.59 ,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",56%,United States,Central,Illinois,Saint Charles,60174,08-05-2015,09-05-2015, $9.86 ,14,196.41,88461,Accepted
Maxine Collier Grady,1106,106,4,High,1%, $9.31 , $3.98 ,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Forged Steel Scissors with Black Enamel Handles,56%,United States,Central,Texas,Dallas,75220,21-05-2015,22-05-2015, $(10.90),61,586.96,646,Accepted
Joanna Keith,1107,18106,4,High,1%, $9.31 , $3.98 ,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Forged Steel Scissors with Black Enamel Handles,56%,United States,Central,Texas,Lake Jackson,77566,21-05-2015,22-05-2015, $2.18 ,15,144.33,86411,Accepted
Kathleen Huang Hall,1607,24951,3,Low,10%, $5.68 , $3.60 ,Express Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Preferred Stainless Steel Scissors,56%,United States,East,New York,Freeport,11520,06-02-2015,10-02-2015, $(33.30),21,118.35,87995,Accepted
Marianne Carey,2061,20841,6,Medium,2%, $240.98 , $60.20 ,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",56%,United States,Central,Nebraska,North Platte,69101,29-01-2015,31-01-2015, $(272.71),1,260.66,87146,Accepted
Diana Coble Hubbard,1935,19780,8,Critical,1%, $42.98 , $4.62 ,Express Air,Corporate,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,56%,United States,Central,Texas,Grand Prairie,75051,08-04-2015,10-04-2015, $285.47 ,9,413.73,86686,Accepted
Glen Robertson,2290,21334,13,Not Specified,0%, $42.98 , $4.62 ,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,56%,United States,Central,Minnesota,Coon Rapids,55433,06-01-2015,08-01-2015, $385.30 ,12,558.41,88163,Accepted
Jordan Womble,2951,25051,6,Medium,7%, $42.98 , $4.62 ,Express Air,Corporate,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,56%,United States,Central,Kansas,Hays,67601,15-02-2015,17-02-2015, $565.39 ,19,819.4,91397,Accepted
Kathy Hinton,2964,25953,4,High,6%, $42.98 , $4.62 ,Regular Air,Consumer,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,56%,United States,East,Ohio,Mount Vernon,43050,21-04-2015,23-04-2015, $(24.63),1,47.04,88610,Accepted
Roy Hardison,1649,20603,8,Critical,3%, $48.58 , $3.99 ,Express Air,Corporate,Office Supplies,Appliances,Small Box,Belkin Premiere Surge Master II 8-outlet surge protector,56%,United States,East,New York,Woodmere,11598,24-02-2015,26-02-2015, $100.13 ,3,145.12,91041,Accepted
Lori Wolfe,1632,20359,4,High,2%, $25.99 , $5.37 ,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Box,"BOSTON® Ranger® #55 Pencil Sharpener, Black",56%,United States,South,Mississippi,Hattiesburg,39401,15-04-2015,17-04-2015, $(88.16),9,243.24,90533,Accepted
Glenda Hunter,3151,23322,13,Not Specified,5%, $25.99 , $5.37 ,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,"BOSTON® Ranger® #55 Pencil Sharpener, Black",56%,United States,West,California,Twentynine Palms,92277,16-02-2015,18-02-2015, $220.36 ,18,451.35,88545,Accepted
Diana Coble Hubbard,1935,19698,3,Low,6%, $3.25 , $49.00 ,Regular Air,Home Office,Office Supplies,Appliances,Large Box,"Bravo II™ Megaboss® 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",56%,United States,Central,Texas,Grand Prairie,75051,30-05-2015,05-06-2015, $10.51 ,2,55.6,86688,Accepted
Gerald Crabtree,2617,25478,13,Not Specified,10%, $3.25 , $49.00 ,Regular Air,Corporate,Office Supplies,Appliances,Large Box,"Bravo II™ Megaboss® 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",56%,United States,Central,South Dakota,Aberdeen,57401,27-06-2015,28-06-2015, $(286.25),6,40.69,91496,Accepted
Tracy Schultz,2765,26156,3,Low,3%, $5.85 , $2.27 ,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",56%,United States,East,New Jersey,Lindenwold,8021,28-05-2015,30-05-2015, $(5.08),7,41.4,90725,Accepted
Lucille Buchanan,1590,25013,6,Medium,3%, $19.04 , $6.38 ,Express Air,Corporate,Furniture,Office Furnishings,Small Box,"Eldon Expressions™ Desk Accessory, Wood Photo Frame, Mahogany",56%,United States,East,Ohio,Willoughby,44094,04-04-2015,04-04-2015, $83.79 ,7,144.03,86668,Accepted
Katherine Kearney,317,18032,13,Not Specified,9%, $7.38 , $5.21 ,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",56%,United States,West,California,Lemon Grove,91945,17-06-2015,18-06-2015, $(27.16),9,66.55,86041,Accepted
Eva Simpson,1237,18625,13,Not Specified,2%, $7.38 , $5.21 ,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",56%,United States,Central,Texas,Carrollton,75007,29-03-2015,30-03-2015, $7.74 ,3,24.52,86076,Accepted
Carmen McPherson,1136,22119,4,High,9%, $270.97 , $28.06 ,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Drum,Epson LQ-570e Dot Matrix Printer,56%,United States,Central,Illinois,Carol Stream,60188,02-01-2015,04-01-2015," $2,660.14 ",15,3855.28,87940,Accepted
Annie Odom,2089,21697,3,Low,6%, $38.06 , $4.50 ,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Fellowes Superior 10 Outlet Split Surge Protector,56%,United States,East,New York,New City,10956,30-06-2015,06-07-2015, $450.46 ,17,652.84,88348,Accepted
Glenda Hunter,3151,24723,6,Medium,4%, $17.24 , $3.26 ,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Fiskars 8"" Scissors, 2/Pack",56%,United States,West,California,Twentynine Palms,92277,28-02-2015,28-02-2015, $47.73 ,7,119.6,88546,Accepted
Frances Jackson,1433,20124,4,High,7%, $300.98 , $64.73 ,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Leather and Oak Executive Chair, Black",56%,United States,Central,Indiana,Jeffersonville,47130,19-05-2015,21-05-2015," $1,399.64 ",14,4285.56,86828,Accepted
Kathy Shah,1718,19884,3,Low,1%, $300.98 , $64.73 ,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Leather and Oak Executive Chair, Black",56%,United States,South,North Carolina,Garner,27529,08-03-2015,15-03-2015, $(48.87),3,974.14,90621,Accepted
Maureen Herbert Hood,1894,23260,8,Critical,0%, $300.98 , $164.73 ,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Leather and Oak Executive Chair, Black",56%,United States,Central,Wisconsin,Appleton,54915,24-02-2015,25-02-2015," $2,653.29 ",12,3845.35,91261,Accepted
Colleen Andrews,228,21203,6,Medium,3%, $60.89 , $32.41 ,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Push Button Manager's Chair, Indigo",56%,United States,South,North Carolina,Mint Hill,28227,02-04-2015,03-04-2015, $36.35 ,7,450.49,88527,Accepted
Scott Bunn,68,5272,3,Low,0%, $291.73 , $48.80 ,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,56%,United States,East,New York,New York City,10177,02-01-2015,02-01-2015, $(308.93),4,1239.06,37537,Accepted
Alfred Singh,2062,22511,3,Low,4%, $291.73 , $48.80 ,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,56%,United States,South,Virginia,Mechanicsville,23111,26-06-2015,30-06-2015, $(115.90),22,6676.61,87148,Accepted
Evan Kelley,2073,24677,13,Not Specified,5%, $291.73 , $48.80 ,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,56%,United States,Central,Michigan,Garden City,48135,07-04-2015,09-04-2015, $550.38 ,6,1818.41,88557,Accepted
Peggy Rowe,738,21949,13,Not Specified,2%, $70.98 , $46.74 ,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,"Hon Metal Bookcases, Putty",56%,United States,East,New Jersey,Cranford,7016,15-06-2015,16-06-2015, $(178.22),4,313.63,90361,Accepted
Sherri F Vogel,1976,25731,8,Critical,5%, $70.98 , $46.74 ,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,"Hon Metal Bookcases, Putty",56%,United States,Central,Michigan,East Lansing,48823,10-01-2015,11-01-2015, $(850.65),8,551.51,89039,Accepted
Richard McClure,693,18738,3,Low,6%, $205.99 , $5.26 ,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,i470,56%,United States,West,Colorado,Thornton,80229,08-03-2015,15-03-2015, $890.18 ,11,1882.87,87812,Accepted
Gary Hester,1233,19875,4,High,4%, $205.99 , $5.26 ,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,i470,56%,United States,Central,Texas,Flower Mound,75028,04-06-2015,05-06-2015, $(0.81),6,1018.61,89376,Accepted
Pat Baker,2667,18400,4,High,4%, $90.24 , $0.99 ,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,56%,United States,East,Ohio,Lakewood,44107,02-04-2015,04-04-2015, $246.27 ,4,356.92,87831,Accepted
Rodney Field,1442,22672,13,Not Specified,4%, $177.98 , $0.99 ,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Kensington 7 Outlet MasterPiece Power Center,56%,United States,Central,Missouri,Springfield,65807,25-06-2015,27-06-2015," $1,909.89 ",15,2767.95,89076,Accepted
Kevin Wolfe,2771,26157,4,High,7%, $177.98 , $0.99 ,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Kensington 7 Outlet MasterPiece Power Center,56%,United States,South,Georgia,East Point,30344,13-06-2015,13-06-2015, $(191.55),3,536.29,88974,Accepted
Theresa Winters,1014,21186,8,Critical,6%, $45.99 , $4.99 ,Express Air,Home Office,Technology,Telephones and Communication,Small Box,KF 788,56%,United States,South,Arkansas,Bryant,72022,01-03-2015,02-03-2015, $(329.78),10,370.81,88387,Accepted
Ricky Allred,3279,21620,6,Medium,1%, $45.99 , $4.99 ,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,KF 788,56%,United States,South,South Carolina,Columbia,29203,14-03-2015,16-03-2015, $24.02 ,3,125.19,90767,Accepted
Carolyn Bowling,1670,21492,3,Low,0%, $142.86 , $19.99 ,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Letter Size Cart,56%,United States,South,Virginia,Blacksburg,24060,24-04-2015,03-05-2015, $(739.33),11,1576.35,86722,Accepted
Brad H Blake,2859,20270,13,Not Specified,3%, $142.86 , $19.99 ,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Letter Size Cart,56%,United States,South,Florida,Gainesville,32601,01-04-2015,03-04-2015, $(8.39),23,3292.02,88281,Accepted
Randall Montgomery,56,20698,6,Medium,6%, $1.76 , $0.70 ,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,56%,United States,East,New York,Tonawanda,14150,20-04-2015,21-04-2015, $(1.65),17,29.57,88075,Accepted
